""	"PC9.DMSO1"	"PC9.DMSO2"	"PC9.DMSO3"	"PC9.osiacute1"	"PC9.osiacute2"	"PC9.osiacute3"	"PC9.osiDTP1"	"PC9.osiDTP2"	"PC9.osiDTP3"
"AC005520.3"	1.066828312575	0.258642086863064	0.780836539513005	0.926588364687059	0.610428533986292	1.17897822190239	1.34216858291158	0.383024460295565	0.500367994487375
"AC005670.2"	0.128749787302344	0.267159882807905	0.35757680008073	0.082874820994531	0	0	0.347912277866033	0.263312533244622	0.189380041008066
"AC005697.1"	0	0	0	0	0	0	0	0	0.0369087037531193
"AC005702.1"	0.144372802280502	0.104966732230764	0	0.0729124531774055	0	0	0.17046984896613	0.133666566647676	0.0521705418321599
"AC005726.1"	0.229853144400937	0.634023660883099	1.18806973349933	0.782790366649678	0.68259345340168	0.595064868482903	1.1152743215311	1.30846012669884	0.906019660686621
"AC005747.1"	0.200678798396931	0.129598267869127	0.197903197507795	0.0381591558050203	0.0806498845735043	0.0920926797125158	0.112148786558669	0.0382778760885769	0.164589577772902
"AC005832.4"	4.22778235462351e-09	2.68360055305451	4.00517232355162	5.15957115570557	5.24843959153131	2.93450082178996	0.000137215773812591	4.34487830058564	0.643150210469721
"AC005833.1"	4.59010799362708	4.60259034194051	4.03236970226534	3.09719063801326	4.32274317716304	2.65453022939886	3.29106693452511	2.57728547847374	2.56819608120193
"AC005837.2"	0	0	0	0	0	0	0	0	0
"AC005943.1"	11.983337594185	11.9742388106103	11.5399733206215	11.9472126306432	8.0365643877147	7.27547819444671	9.09155299058994	9.20626798902189	9.04895824689437
"AC006030.1"	0.119634154544342	0.295540316273779	0.259697388486325	0.497915273797898	0.557416666657907	0.885518612811239	1.29088907458321	0.382015269669834	1.21945785244784
"AC006059.2"	0.189325645541599	0.320541492596918	0.31236639348293	0.196392749186116	0.320645666798749	0.494657262682421	0.265999211662111	0.257195399579635	0.275819282970266
"AC006254.1"	0.724779953815259	0.547793174656109	0.22277890523504	5.45240429896124	3.3585930517757	4.38211818566159	6.28969507798414	6.37379312057742	5.47698768916586
"AC006486.1"	0	0.202628572884884	0.143664511108777	0	0	0	0.310707645063732	0.289212080651499	0
"AC006518.7"	0	0	0	0	0	0	0	0	0
"AC006538.2"	0.569457577200157	0	0	0.367952846650359	0	0	0	0	0
"AC006978.2"	0.930018345262523	1.23597364202664	1.00397082410342	2.69388648056082	1.7655122919606	1.43053828114185	2.28413635334499	1.76748695844263	1.24781531247167
"AC007040.2"	0.334136168422564	0.299876180911097	0.383598144659236	3.81405807424014	0.587839658224497	0.507384633277345	0.334451093015681	0.960240980761419	1.76496009299102
"AC007192.1"	1.4023916090411	0	0.675350565473584	1.95048794979887	2.15119998417352	1.82046477401262	1.53250445898147	1.94536127357898	1.13411122785192
"AC007244.1"	0	0	0	0	0	0	0	0	0
"AC007325.1"	0	0	0	0.0249041830021864	0.0305485618632208	0	0	0.0257168854767876	0
"AC007325.2"	0.0913238803401723	0	0	2.01078759377707	1.76266322691227	2.23748570123538	2.88767132299672	4.74586373601585	4.65290128063357
"AC007325.4"	2.79001985033993	0.901873751937063	1.62691610820344	2.76023947043675	1.62009243216869	2.83041759371784	3.43862308747817	1.8698552893155	3.37798738136613
"AC007375.2"	0	0	0	0	0	0	0	0	0
"AC007731.5"	0	0	0.0748492744106336	0	0	0	0	0	0
"AC007846.2"	0	0	0.0495447434659621	0.00976775946670522	0	0	0	0	0
"AC007906.2"	0.454195405126943	0.603648397235816	0.921105094795647	1.77316599737559	1.35148421492791	1.63201001942501	2.27820632181953	1.54176974423907	1.46766718867135
"AC007998.2"	0	0	0	0	0.0379503080163792	0.108957608346259	0	0.128541908273911	0.0264266012215886
"AC008073.3"	0	0.0456961482879229	0	0.0667983111992827	0.17558724356504	0.0295675714794027	0.171138950417615	0.214454799232041	0.121804695138314
"AC008162.2"	0	0	0	0	0	0	0	0	0
