gene	PC9.DMSO1	PC9.DMSO2	PC9.DMSO3	PC9.osiacute1	PC9.osiacute2	PC9.osiacute3	PC9.osiDTP1	PC9.osiDTP2	PC9.osiDTP3
USP5	17263.92533	19950.41518	17389.10847	12897.68837	14204.11743	14941.27277	11539.01857	13527.7056	14483.43844
USP50	9.979728776	21.75733234	14.50644725	39.6623561	18.37937147	15.19970326	20.36862237	26.06874798	21.21333008
USP51	18.62826527	9.853242108	2.462400985	4.04739257	0	8.134084279	2.457401554	11.45518167	21.7457602
USP53	647.0787811	1259.071748	870.7686515	1670.214011	2391.183128	1635.169724	2323.672567	2617.229124	3350.38512
USP54	533.6196821	814.8987779	620.8966745	1124.975036	1323.898803	1235.21697	796.2672936	675.3833736	1313.619763
USP6	78.75776156	144.731375	120.2738973	293.2584469	396.6814681	269.9419123	246.6161834	384.6569401	357.1259458
USP6NL	1509.832443	2287.786683	1961.190869	2169.041672	2824.626125	2138.520005	2447.026611	2567.0481	3197.070324
USP7	7133.726215	8385.478101	8026.240366	5433.76415	5392.111894	5138.794066	4058.663051	4747.896845	4998.938432
USP8	2681.901961	3431.4483	2977.856653	3622.078479	4187.232737	3541.074883	3023.404537	3578.441254	4326.828161
USP9X	2774.548482	3975.120438	3056.415046	4828.744282	7392.580222	5548.231558	5152.963327	5270.254403	6593.601177
USP9Y	17.09972375	19.88580485	45.12070811	31.48336305	20.39204	9.89541841	20.44716859	51.23007475	28.42499161
USPL1	945.2819758	1297.050521	1132.656789	886.6642493	932.8441116	785.6350697	634.6804075	971.5745086	1010.928274
UST	180.4858301	289.541421	213.0623713	437.7386611	456.4681399	304.5321565	374.8322202	292.4826021	512.5649909
UTF1	0	0	0	0	0	0	0	0	0
UTP11	1690.095469	2011.78501	1986.538755	825.4923523	772.0834431	861.0043683	657.1364087	793.6491197	812.7505917
UTP14A	3505.438951	4302.550898	3790.912654	2671.762544	3040.30092	2779.657419	2284.223998	2369.422755	2748.684621
UTP14C	1540.455591	2053.381531	1769.860944	2146.531187	2483.779325	2270.99291	2476.150818	2865.764088	3293.040098
UTP15	1260.996745	1539.496083	1345.412849	480.7847693	484.8717049	673.8546672	569.2394821	597.6411769	719.3239319
UTP18	2830.119863	3355.423217	3120.568522	1165.517446	1250.014997	1241.936735	1395.169744	1430.286892	1526.500465
UTP20	4130.867158	4521.585221	4262.030532	1288.427613	1467.701117	1455.37801	1281.853756	1527.01694	1791.785684
UTP23	1150.666054	1270.183972	1089.121782	623.3755852	827.6090423	718.6995571	611.4283475	808.3690747	812.8927245
UTP25	1510.293808	1845.895992	1723.243559	1157.99742	1367.073458	1236.137024	1278.43015	1543.876772	1770.747908
UTP3	1558.999807	1986.450629	1592.947197	1218.57018	1366.076646	1253.010569	1042.953046	1325.867338	1224.934339
UTP4	3397.651498	3803.27923	3683.480235	1473.564378	1391.631264	1378.98402	1755.755813	1870.340464	2154.001212
UTP6	2256.221207	2502.493018	2678.765011	1436.01402	1528.356273	1538.503611	1451.004138	1553.629897	1534.389465
UTRN	1502.519436	2251.42316	1259.11111	2574.110912	3209.000386	3031.106986	3180.233925	4190.000927	4371.507623
UTS2	92.02426235	137.5702373	112.193472	115.9243186	160.7926476	92.45147796	84.66085272	103.8945286	131.8568988
UTS2B	58.12375832	59.01921696	34.92495547	46.59592174	58.96248835	52.29218915	61.73317347	62.44551871	43.4364632
UTS2R	0	0	0	0	0	0	0	0.967577292	0.963978662
UTY	0	0	0	0	0	0	0	0	0
UVRAG	973.6912076	1255.495546	1044.830412	996.7526843	1292.967975	968.7046281	991.1236432	1110.916495	1179.469197
UVSSA	708.6306202	1001.08294	769.7748371	1015.915327	1093.263397	973.6585406	1056.874268	1306.766932	1397.972143
UXS1	2283.022219	2803.834859	2198.597905	2343.553367	2644.940956	2483.814541	1999.083967	2687.637224	2788.687283
UXT	748.1206132	819.1472382	746.5208607	773.9476778	930.2355353	718.4609489	593.1395294	752.5472638	619.3196159
VAC14	3488.707161	4187.894993	3470.637524	2805.517184	2811.9557	2611.396556	2701.275645	3018.755692	3230.200543
VAMP1	229.5094943	311.9385779	182.9235386	362.0827319	462.3532152	429.4493785	740.1632862	960.9017026	782.9615596
VAMP2	444.7032574	575.1633081	443.518065	549.5638928	603.9265886	556.4417234	976.7169204	1200.138572	1253.066292
VAMP3	1611.945813	2076.768197	1942.509574	1748.904466	2472.219236	2013.752996	1882.663957	2020.630706	2549.399422
VAMP4	196.8919315	263.1328659	327.991734	303.4981837	446.18752	318.0410644	219.5155847	357.3685095	620.8855021
VAMP5	25.07900926	40.82160409	33.34728517	210.0256599	207.6122849	208.6084462	124.6878398	104.9744906	157.819088
VAMP7	1480.703961	1735.027523	1629.632501	1692.342794	1870.117769	1431.200078	1667.142506	2070.202218	1937.302254
VAMP8	1635.397042	2129.11913	1475.694726	2969.551684	3443.618432	2977.513858	2096.080568	2368.293501	2584.025426
VANGL1	7977.293723	9886.897835	7916.18941	5572.206422	4713.127562	5025.255423	5144.160193	5208.780163	6587.879107
VANGL2	467.0747427	574.7441486	343.2452958	674.3235885	836.1198254	798.1417993	867.7294519	1037.325001	1699.161137
VAPA	6392.499663	8081.989539	7119.315379	8254.682308	9746.627835	8783.82244	6178.512308	7332.289226	8102.554903
VAPB	5338.423002	6311.936289	5140.455803	2610.210184	3035.334549	3215.856311	3565.491486	3765.866117	4302.831959
VARS1	8799.431039	10728.10169	9776.520925	2913.441288	3286.782287	3634.078889	3465.271967	4118.290361	4308.118987
VARS2	2095.646415	2524.053293	2358.662268	2305.387665	2346.35694	2059.489524	1676.34062	1835.288615	2183.439264
VASH1	50.87225298	53.31909203	47.98632603	88.23827893	106.6100019	80.71769809	187.2171704	156.2989504	226.4084363
VASH2	41.79908125	42.39748253	34.64057685	44.33865053	37.16741354	1.852224203	30.44821491	18.4379898	34.81436292
VASN	901.3742744	1040.034399	772.0376015	3073.160134	3967.675616	3817.014583	5675.421504	7264.883319	8434.069387
VASP	5496.442223	7193.1315	5444.899122	7386.323669	8671.116455	7601.216221	4720.403373	4771.278284	5584.852575
VAT1	6529.904857	7949.487197	6609.932456	10262.16234	12769.12286	10379.14002	8255.680397	9324.845976	10327.50628
VAT1L	0	0	0	0	0	0	0	0	0
VAV1	413.2822617	489.8567415	326.9406044	167.6004859	217.5347457	245.0761577	139.8617336	135.277585	215.5029963
VAV2	3243.576393	3866.987332	3088.389499	4144.07567	5044.491255	4333.154608	3998.657913	4277.920103	5391.995956
VAV3	42.6179358	30.84939896	9.842465575	46.3856276	30.64050164	50.90803431	37.62823765	53.37523929	47.32021745
VAX1	0	0	0	0	0	0	0	0	0
VAX2	32.92001536	53.2758908	21.0408763	122.9345355	174.9692937	91.5991428	84.44456741	114.1012599	113.7330355
VBP1	2050.484826	2237.016207	1922.08845	734.96578	750.3835479	868.9958244	835.0959622	986.9084945	987.6080701
VCAM1	0	0	0	1.050536132	2.121674854	8.470502094	21.92544967	25.66363029	7.196934822
VCAN	4.290668082	0	0	1.00505985	0	0	1.017184524	0	0
VCL	8689.57699	11807.38549	9357.88713	11400.79478	12212.94209	11360.11077	10221.97989	8106.172166	10075.70229
VCP	14556.60208	18295.44474	16169.85165	13366.40688	14122.92493	13368.73058	10151.08119	10984.84353	13183.98065
VCPIP1	439.9336955	648.173245	601.4661228	647.7467634	758.4310756	565.6934561	529.9259955	582.8343635	702.696268
VCPKMT	115.8109867	147.0838508	135.7707756	110.3771069	129.7194401	105.026223	101.1026069	146.3423276	158.0150007
VCX	2725.585882	3945.012111	2473.73777	3270.674358	4418.746716	3672.977598	4410.562604	4906.107115	5214.527595
VCX2	0	0	1.067731837	2.146113044	1.060693124	1.058968742	0	1.041950213	0
VCX3A	2603.760452	2773.073927	1935.361117	2480.480973	3329.061277	3117.99394	3223.676849	3559.114442	3819.243316
VCX3B	9173.824615	11413.87951	7974.658346	9896.489181	12432.94682	10704.83657	9120.915901	10872.95889	11680.24314
VCY	0	0	0	0	0	0	0	0	0
VCY1B	0	0	0	0	0	0	0	2.110951246	0
VDAC1	15593.72051	18314.0509	16433.51329	10098.99737	10136.51977	10249.52416	5819.557464	6078.434013	6212.935195
VDAC2	7014.786612	8296.725811	7350.343788	7319.343424	10109.87793	8117.676923	6125.230643	7128.542526	7390.654291
VDAC3	3504.686427	4315.422624	3693.378084	2103.951083	2199.626413	2046.185367	1794.213451	1936.218872	2102.624527
VEGFB	2406.457724	2840.883282	2516.643263	2693.570891	2561.296585	2292.803638	2310.456537	2865.004547	2710.640035
VEGFC	144.72638	185.2206368	145.9644239	85.21135495	82.64724066	96.17424079	57.7606056	37.55693449	57.58536401
